name,country,state,
Valley of St. John's,,,
Skiddaw's,,,
Solway,,,
Carlisle's,,,
VALE OF ST. JOHN,,,
Cumberland,,,
Dunmail Raise,,,
Thirlmere,,,
Vale of Legberthwaite,,,
St. John's Vale,,,
Keswick,,,
Keswick,,,
Ambleside,,,
Vale of Nathland,,,
St. John's Chapel,,,
Nathdale Fell,,,
St. John's Vale,,,
Lake District,,,
Keswick,,,
Penrith,,,
Threlkeld,,,
Greystoke,,,
Threlkeld,,,
Towton,,,
Crosby,,,
Westmorland,,,
Yanwath,,,
Penrith,,,
Threlkeld,,,
Vale of Keswick,,,
Threlkeld Hall,,,
York,,,
Lancaster,,,
Threlkeld Hall,,,
Blencathara's,,,
York,,,
Threlkeld,,,
London,,,
Flodden Field,,,
Brougham Castle,,,
Carrock's,,,
Threlkeld Hall,,,
Guardhouse,,,
Threlkeld,,,
Keswick,,,
Vale of St. John's,,,
Vale of St. John,,,
Castle Rocks,,,
St. John,,,
Vale of Keswick,,,
Triermain,,,
Carlisle,,,
Threlkeld's,,,
valley of St. John,,,
Triermain,,,
Valley of St. John,,,
Threlkeld,,,
Ambleside,,,
Keswick,,,
vale of Nathdale,,,
WATENDLATH,,,
Rosthwaite,,,
Borrowdale,,,
High Lodore,,,
Watendlath,,,
Derwentwater,,,
Waterfall,,,
Barrow,,,
Lakes Derwent,,,
Bassenthwaite,,,
Ashness Bridge,,,
Ashness farm-house,,,
Thrang Crag,,,
Watendlath Vale,,,
Watendlath,,,
High Ladder Brow,,,
Watendlath,,,
valley of Borrowdale,,,
valley of Borrowdale,,,
Cumberland,,,
valley of Borrowdale,,,
Pike of Scawfell,,,
valley of Rosthwaite,,,
Bowder stone,,,
Borrowdale valley,,,
Village of Grange,,,
Keswick,,,
Keswick,,,
Cumberland,,,
Westmorland,,,
Keswick,,,
Greystoke Town,,,
Ullswater,,,
Penruddock,,,
Threlkeld,,,
Saddleback,,,
Guardhouse,,,
Lowside,,,
St. John,,,
Hill-top,,,
Gaskarths,,,
Skiddaw,,,
Latter-rig,,,
Vale of Elysium,,,
Queen's Head,,,
Parsonage,,,
Borrowdale,,,
Cockshut,,,
Castle-hill,,,
Walla Crag,,,
Newland-Valley,,,
Borrowdale,,,
Keswick,,,
Crosthwaite Church,,,
Skiddaw,,,
Walla Crag,,,
Carf Close Reeds,,,
Scarf Close Bay,,,
Barrow-gate,,,
Barrow-beck,,,
Borrowdale,,,
Crags,,,
Lodore-banks,,,
Lodore-waterfall,,,
Gowdar Crag,,,
Lodore,,,
Alps,,,
Barrow-side,,,
Gowdar Crag,,,
Village of Grange,,,
Derwent,,,
Castle-Crag,,,
Eagle's Cliff,,,
Dove's Nest,,,
Whitedale-pike,,,
Keswick,,,
Seathwaite,,,
Ravenglass,,,
Hawkshead,,,
Keswick,,,
Grange,,,
Skiddaw,,,
Crow-park,,,
Crow-park,,,
Borrowdale,,,
Cockshut-hill,,,
Castle-Head,,,
Castle-hill,,,
Derwentwater,,,
Parsonage,,,
Vicarage,,,
Ormathwaite,,,
Derwent,,,
How-Hill,,,
Bassenthwaite Water,,,
Skiddaw,,,
Portinscale village,,,
Walla Crag,,,
Castle-Head,,,
Penrith,,,
Skiddaw,,,
Saddleback,,,
Castlerigg,,,
Bassenthwaite Water,,,
Ouse Bridge,,,
Skiddaw,,,
Withop,,,
Keswick,,,
Armathwaite,,,
Keswick,,,
Cockermouth,,,
Penrith,,,
Cross-fell,,,
Crow-park,,,
Penrith,,,
Keswick,,,
Buttermere-water,,,
Borrowdale,,,
Keswick,,,
Ambleside,,,
Castlerigg,,,
Causeway foot,,,
Naddle fells,,,
Lanewaite,,,
Keswick,,,
Helvellyn,,,
Leatheswater,,,
Thirlmere,,,
Wythburn-water,,,
Helvellyn,,,
Wythburn,,,
Dunmail-Raise,,,
Westmorland,,,
Helm-crag,,,
Grasmere Lake,,,
KESWICK,,,
DERWENT LAKE,,,
BOWDER STONE,,,
Barrow House,,,
Lodore Hotel,,,
Village of Grange,,,
Bowder Stone,,,
Grange,,,
Portinscale,,,
Keswick,,,
Bowder Stone,,,
BASSENTHWAITE LAKE,,,
Peel Wyke,,,
Ouse Bridge,,,
Castle Inn,,,
Bassenthwaite Sandbed,,,
Keswick,,,
Thornthwaite,,,
Wythop Woods,,,
Ousebridge,,,
Beck-Wythop,,,
Skiddaw,,,
Ousebridge,,,
Bassenthwaite,,,
BUTTERMERE,,,
NEWLANDS,,,
Portinscale,,,
Swinside,,,
Stair,,,
Keskadale,,,
Newlands Hawse,,,
Buttermere,,,
BUTTERMERE,,,
BORROWDALE,,,
Rosthwaite,,,
Seatoller,,,
Honister Crag,,,
Gatesgarth,,,
Hasness,,,
Buttermere,,,
Keswick,,,
BUTTERMERE,,,
WHINLATTER,,,
Braithwaite Village,,,
Whinlatter,,,
Swineside,,,
Scale Hill,,,
Buttermere,,,
Newlands,,,
Keswick,,,
WASTWATER,,,
BORROWDALE,,,
Grange Bridge,,,
Rosthwaite,,,
Seatoller Bridge,,,
Seathwaite,,,
Styhead Tarn,,,
Styhead,,,
Wastdale Head,,,
Wastwater,,,
Netherbeck Bridge,,,
Gosforth,,,
Calder Bridge,,,
Calder Bridge,,,
Ennerdale Bridge,,,
Scale Hill,,,
Buttermere,,,
Keswick,,,
PATTERDALE,,,
Threlkeld,,,
Penrith,,,
Dockray,,,
Keswick,,,
Penrith,,,
Lyulph's Tower,,,
Patterdale,,,
PATTERDALE,,,
Penrith,,,
Wanthwaite Mill,,,
St John's Vale,,,
Hill Top,,,
Threlkeld Pasture,,,
Dockray,,,
Patterdale,,,
PATTERDALE,,,
Ambleside,,,
Stainah,,,
Stainah,,,
Greenside Lead Mines,,,
Glenriddon,,,
Penrith,,,
Patterdale,,,
SADDLEBACK,,,
BLENCATHRA,,,
Threlkeld,,,
High Row End,,,
Linthwaite Pike,,,
Atkinson's Man,,,
Keswick,,,
