Maakond;Vanuserühm;Murdekeele.oskus;Usk;Arv;Sugu
Harju maakond;30-49;Tartu murre;Peab.omaks.mõnd.usku;29;Mees
Harju maakond;30-49;Võru murre;Peab.omaks.mõnd.usku;711;Mees
Harju maakond;30-49;Setu murrak;Peab.omaks.mõnd.usku;150;Mees
Harju maakond;30-49;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;18;Mees
Harju maakond;30-49;Põhja-Eesti murre;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;30-49;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;2;Mees
Harju maakond;30-49;Ei oska murdeid;Peab.omaks.mõnd.usku;5747;Mees
Harju maakond;30-49;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;50-64;Oskab mõnda murret;Peab.omaks.mõnd.usku;754;Mees
Harju maakond;50-64;idamurre;Peab.omaks.mõnd.usku;10;Mees
Harju maakond;50-64;keskmurre;Peab.omaks.mõnd.usku;2;Mees
Harju maakond;50-64;läänemurre;Peab.omaks.mõnd.usku;9;Mees
Harju maakond;50-64;Mulgi murre;Peab.omaks.mõnd.usku;45;Mees
Harju maakond;50-64;rannikumurre;Peab.omaks.mõnd.usku;30;Mees
Harju maakond;50-64;saarte murre;Peab.omaks.mõnd.usku;165;Mees
Harju maakond;50-64;Kihnu murrak;Peab.omaks.mõnd.usku;2;Mees
Harju maakond;50-64;Tartu murre;Peab.omaks.mõnd.usku;22;Mees
Harju maakond;50-64;Võru murre;Peab.omaks.mõnd.usku;441;Mees
Harju maakond;50-64;Setu murrak;Peab.omaks.mõnd.usku;103;Mees
Harju maakond;50-64;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;30;Mees
Harju maakond;50-64;Põhja-Eesti murre;Peab.omaks.mõnd.usku;8;Mees
Harju maakond;50-64;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;11;Mees
Harju maakond;50-64;Ei oska murdeid;Peab.omaks.mõnd.usku;3125;Mees
Harju maakond;50-64;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;6;Mees
Harju maakond;65 ja vanemad;Oskab mõnda murret;Peab.omaks.mõnd.usku;1017;Mees
Harju maakond;65 ja vanemad;idamurre;Peab.omaks.mõnd.usku;8;Mees
Harju maakond;65 ja vanemad;keskmurre;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;65 ja vanemad;läänemurre;Peab.omaks.mõnd.usku;18;Mees
Harju maakond;65 ja vanemad;Mulgi murre;Peab.omaks.mõnd.usku;125;Mees
Harju maakond;65 ja vanemad;rannikumurre;Peab.omaks.mõnd.usku;37;Mees
Harju maakond;65 ja vanemad;saarte murre;Peab.omaks.mõnd.usku;202;Mees
Harju maakond;65 ja vanemad;Kihnu murrak;Peab.omaks.mõnd.usku;7;Mees
Harju maakond;65 ja vanemad;Tartu murre;Peab.omaks.mõnd.usku;46;Mees
Harju maakond;65 ja vanemad;Võru murre;Peab.omaks.mõnd.usku;548;Mees
Harju maakond;65 ja vanemad;Setu murrak;Peab.omaks.mõnd.usku;89;Mees
Harju maakond;65 ja vanemad;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;29;Mees
Harju maakond;65 ja vanemad;Põhja-Eesti murre;Peab.omaks.mõnd.usku;11;Mees
Harju maakond;65 ja vanemad;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;7;Mees
Harju maakond;65 ja vanemad;Ei oska murdeid;Peab.omaks.mõnd.usku;4278;Mees
Harju maakond;65 ja vanemad;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;1;Mees
Tallinn;15-29;Oskab mõnda murret;Peab.omaks.mõnd.usku;248;Mees
Tallinn;15-29;idamurre;Peab.omaks.mõnd.usku;3;Mees
Tallinn;15-29;keskmurre;Peab.omaks.mõnd.usku;3;Mees
Tallinn;15-29;läänemurre;Peab.omaks.mõnd.usku;3;Mees
Tallinn;15-29;Mulgi murre;Peab.omaks.mõnd.usku;10;Mees
Tallinn;15-29;rannikumurre;Peab.omaks.mõnd.usku;2;Mees
Tallinn;15-29;saarte murre;Peab.omaks.mõnd.usku;89;Mees
Tallinn;15-29;Kihnu murrak;Peab.omaks.mõnd.usku;5;Mees
Tallinn;15-29;Tartu murre;Peab.omaks.mõnd.usku;3;Mees
Tallinn;15-29;Võru murre;Peab.omaks.mõnd.usku;132;Mees
Tallinn;15-29;Setu murrak;Peab.omaks.mõnd.usku;26;Mees
Tallinn;15-29;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;3;Mees
Tallinn;15-29;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Tallinn;15-29;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Tallinn;15-29;Ei oska murdeid;Peab.omaks.mõnd.usku;1715;Mees
Tallinn;15-29;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;3;Mees
Tallinn;30-49;Oskab mõnda murret;Peab.omaks.mõnd.usku;772;Mees
Tallinn;30-49;idamurre;Peab.omaks.mõnd.usku;10;Mees
Tallinn;30-49;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Tallinn;30-49;läänemurre;Peab.omaks.mõnd.usku;3;Mees
Tallinn;30-49;Mulgi murre;Peab.omaks.mõnd.usku;51;Mees
Tallinn;30-49;rannikumurre;Peab.omaks.mõnd.usku;13;Mees
Tallinn;30-49;saarte murre;Peab.omaks.mõnd.usku;220;Mees
Tallinn;30-49;Kihnu murrak;Peab.omaks.mõnd.usku;7;Mees
Tallinn;30-49;Tartu murre;Peab.omaks.mõnd.usku;27;Mees
Tallinn;30-49;Võru murre;Peab.omaks.mõnd.usku;437;Mees
Tallinn;30-49;Setu murrak;Peab.omaks.mõnd.usku;84;Mees
Tallinn;30-49;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;11;Mees
Tallinn;30-49;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Tallinn;30-49;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;1;Mees
Tallinn;30-49;Ei oska murdeid;Peab.omaks.mõnd.usku;3621;Mees
Tallinn;30-49;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;4;Mees
Tallinn;50-64;Oskab mõnda murret;Peab.omaks.mõnd.usku;472;Mees
Tallinn;50-64;idamurre;Peab.omaks.mõnd.usku;5;Mees
Tallinn;50-64;keskmurre;Peab.omaks.mõnd.usku;2;Mees
Tallinn;50-64;läänemurre;Peab.omaks.mõnd.usku;8;Mees
Tallinn;50-64;Mulgi murre;Peab.omaks.mõnd.usku;27;Mees
Tallinn;50-64;rannikumurre;Peab.omaks.mõnd.usku;13;Mees
Tallinn;50-64;saarte murre;Peab.omaks.mõnd.usku;103;Mees
Tallinn;50-64;Kihnu murrak;Peab.omaks.mõnd.usku;2;Mees
Tallinn;50-64;Tartu murre;Peab.omaks.mõnd.usku;13;Mees
Tallinn;50-64;Võru murre;Peab.omaks.mõnd.usku;285;Mees
Tallinn;50-64;Setu murrak;Peab.omaks.mõnd.usku;64;Mees
Tallinn;50-64;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;16;Mees
Tallinn;50-64;Põhja-Eesti murre;Peab.omaks.mõnd.usku;1;Mees
Tallinn;50-64;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;7;Mees
Tallinn;50-64;Ei oska murdeid;Peab.omaks.mõnd.usku;1995;Mees
Tallinn;50-64;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;5;Mees
Tallinn;65 ja vanemad;Oskab mõnda murret;Peab.omaks.mõnd.usku;744;Mees
Tallinn;65 ja vanemad;idamurre;Peab.omaks.mõnd.usku;6;Mees
Tallinn;65 ja vanemad;keskmurre;Peab.omaks.mõnd.usku;2;Mees
Tallinn;65 ja vanemad;läänemurre;Peab.omaks.mõnd.usku;15;Mees
Tallinn;65 ja vanemad;Mulgi murre;Peab.omaks.mõnd.usku;91;Mees
Tallinn;65 ja vanemad;rannikumurre;Peab.omaks.mõnd.usku;20;Mees
Tallinn;65 ja vanemad;saarte murre;Peab.omaks.mõnd.usku;148;Mees
Tallinn;65 ja vanemad;Kihnu murrak;Peab.omaks.mõnd.usku;4;Mees
Tallinn;65 ja vanemad;Tartu murre;Peab.omaks.mõnd.usku;40;Mees
Tallinn;65 ja vanemad;Võru murre;Peab.omaks.mõnd.usku;407;Mees
Tallinn;65 ja vanemad;Setu murrak;Peab.omaks.mõnd.usku;69;Mees
Tallinn;65 ja vanemad;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;15;Mees
Tallinn;65 ja vanemad;Põhja-Eesti murre;Peab.omaks.mõnd.usku;6;Mees
Tallinn;65 ja vanemad;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;4;Mees
Tallinn;65 ja vanemad;Ei oska murdeid;Peab.omaks.mõnd.usku;2928;Mees
Tallinn;65 ja vanemad;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;1;Mees
Hiiu maakond;15-29;Oskab mõnda murret;Peab.omaks.mõnd.usku;12;Mees
Hiiu maakond;15-29;idamurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;Mulgi murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;saarte murre;Peab.omaks.mõnd.usku;12;Mees
Hiiu maakond;15-29;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;Tartu murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;Võru murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;Setu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;15-29;Ei oska murdeid;Peab.omaks.mõnd.usku;22;Mees
Hiiu maakond;15-29;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;Oskab mõnda murret;Peab.omaks.mõnd.usku;38;Mees
Hiiu maakond;30-49;idamurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;Mulgi murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;saarte murre;Peab.omaks.mõnd.usku;31;Mees
Hiiu maakond;30-49;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;Tartu murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;Võru murre;Peab.omaks.mõnd.usku;5;Mees
Hiiu maakond;30-49;Setu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;2;Mees
Hiiu maakond;30-49;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;30-49;Ei oska murdeid;Peab.omaks.mõnd.usku;48;Mees
Hiiu maakond;30-49;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;Oskab mõnda murret;Peab.omaks.mõnd.usku;41;Mees
Hiiu maakond;50-64;idamurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;Mulgi murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;saarte murre;Peab.omaks.mõnd.usku;36;Mees
Hiiu maakond;50-64;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;Tartu murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;Võru murre;Peab.omaks.mõnd.usku;5;Mees
Hiiu maakond;50-64;Setu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;50-64;Ei oska murdeid;Peab.omaks.mõnd.usku;70;Mees
Hiiu maakond;50-64;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;1;Mees
Hiiu maakond;65 ja vanemad;Oskab mõnda murret;Peab.omaks.mõnd.usku;62;Mees
Hiiu maakond;65 ja vanemad;idamurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;Mulgi murre;Peab.omaks.mõnd.usku;2;Mees
Hiiu maakond;65 ja vanemad;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;saarte murre;Peab.omaks.mõnd.usku;57;Mees
Hiiu maakond;65 ja vanemad;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;Tartu murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;Võru murre;Peab.omaks.mõnd.usku;3;Mees
Hiiu maakond;65 ja vanemad;Setu murrak;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Hiiu maakond;65 ja vanemad;Ei oska murdeid;Peab.omaks.mõnd.usku;73;Mees
Hiiu maakond;65 ja vanemad;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;Oskab mõnda murret;Peab.omaks.mõnd.usku;21;Mees
Ida-Viru maakond;15-29;idamurre;Peab.omaks.mõnd.usku;3;Mees
Ida-Viru maakond;15-29;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;Mulgi murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;rannikumurre;Peab.omaks.mõnd.usku;3;Mees
Ida-Viru maakond;15-29;saarte murre;Peab.omaks.mõnd.usku;3;Mees
Ida-Viru maakond;15-29;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;Tartu murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;Võru murre;Peab.omaks.mõnd.usku;12;Mees
Ida-Viru maakond;15-29;Setu murrak;Peab.omaks.mõnd.usku;5;Mees
Ida-Viru maakond;15-29;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;15-29;Ei oska murdeid;Peab.omaks.mõnd.usku;173;Mees
Ida-Viru maakond;15-29;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;30-49;Oskab mõnda murret;Peab.omaks.mõnd.usku;53;Mees
Ida-Viru maakond;30-49;idamurre;Peab.omaks.mõnd.usku;3;Mees
Ida-Viru maakond;30-49;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;30-49;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;30-49;Mulgi murre;Peab.omaks.mõnd.usku;3;Mees
Ida-Viru maakond;30-49;rannikumurre;Peab.omaks.mõnd.usku;8;Mees
Ida-Viru maakond;30-49;saarte murre;Peab.omaks.mõnd.usku;9;Mees
Ida-Viru maakond;30-49;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;30-49;Tartu murre;Peab.omaks.mõnd.usku;1;Mees
Ida-Viru maakond;30-49;Võru murre;Peab.omaks.mõnd.usku;26;Mees
Ida-Viru maakond;30-49;Setu murrak;Peab.omaks.mõnd.usku;6;Mees
Ida-Viru maakond;30-49;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;3;Mees
Ida-Viru maakond;30-49;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;30-49;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;30-49;Ei oska murdeid;Peab.omaks.mõnd.usku;365;Mees
Ida-Viru maakond;30-49;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;50-64;Oskab mõnda murret;Peab.omaks.mõnd.usku;49;Mees
Ida-Viru maakond;50-64;idamurre;Peab.omaks.mõnd.usku;1;Mees
Ida-Viru maakond;50-64;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;50-64;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;50-64;Mulgi murre;Peab.omaks.mõnd.usku;3;Mees
Ida-Viru maakond;50-64;rannikumurre;Peab.omaks.mõnd.usku;7;Mees
Ida-Viru maakond;50-64;saarte murre;Peab.omaks.mõnd.usku;4;Mees
Ida-Viru maakond;50-64;Kihnu murrak;Peab.omaks.mõnd.usku;1;Mees
Ida-Viru maakond;50-64;Tartu murre;Peab.omaks.mõnd.usku;1;Mees
Ida-Viru maakond;50-64;Võru murre;Peab.omaks.mõnd.usku;32;Mees
Ida-Viru maakond;50-64;Setu murrak;Peab.omaks.mõnd.usku;12;Mees
Ida-Viru maakond;50-64;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;1;Mees
Ida-Viru maakond;50-64;Põhja-Eesti murre;Peab.omaks.mõnd.usku;1;Mees
Ida-Viru maakond;50-64;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;50-64;Ei oska murdeid;Peab.omaks.mõnd.usku;370;Mees
Ida-Viru maakond;50-64;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;65 ja vanemad;Oskab mõnda murret;Peab.omaks.mõnd.usku;110;Mees
Ida-Viru maakond;65 ja vanemad;idamurre;Peab.omaks.mõnd.usku;9;Mees
Ida-Viru maakond;65 ja vanemad;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;65 ja vanemad;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;65 ja vanemad;Mulgi murre;Peab.omaks.mõnd.usku;10;Mees
Ida-Viru maakond;65 ja vanemad;rannikumurre;Peab.omaks.mõnd.usku;15;Mees
Ida-Viru maakond;65 ja vanemad;saarte murre;Peab.omaks.mõnd.usku;5;Mees
Ida-Viru maakond;65 ja vanemad;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;65 ja vanemad;Tartu murre;Peab.omaks.mõnd.usku;4;Mees
Ida-Viru maakond;65 ja vanemad;Võru murre;Peab.omaks.mõnd.usku;63;Mees
Ida-Viru maakond;65 ja vanemad;Setu murrak;Peab.omaks.mõnd.usku;14;Mees
Ida-Viru maakond;65 ja vanemad;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;4;Mees
Ida-Viru maakond;65 ja vanemad;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Ida-Viru maakond;65 ja vanemad;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;1;Mees
Ida-Viru maakond;65 ja vanemad;Ei oska murdeid;Peab.omaks.mõnd.usku;679;Mees
Ida-Viru maakond;65 ja vanemad;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Oskab mõnda murret;Peab.omaks.mõnd.usku;1;Mees
Narva linn;15-29;idamurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Mulgi murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;saarte murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Tartu murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Võru murre;Peab.omaks.mõnd.usku;1;Mees
Narva linn;15-29;Setu murrak;Peab.omaks.mõnd.usku;1;Mees
Narva linn;15-29;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;15-29;Ei oska murdeid;Peab.omaks.mõnd.usku;19;Mees
Narva linn;15-29;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;Oskab mõnda murret;Peab.omaks.mõnd.usku;7;Mees
Narva linn;30-49;idamurre;Peab.omaks.mõnd.usku;1;Mees
Narva linn;30-49;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;Mulgi murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;saarte murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;Tartu murre;Peab.omaks.mõnd.usku;1;Mees
Narva linn;30-49;Võru murre;Peab.omaks.mõnd.usku;5;Mees
Narva linn;30-49;Setu murrak;Peab.omaks.mõnd.usku;2;Mees
Narva linn;30-49;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;30-49;Ei oska murdeid;Peab.omaks.mõnd.usku;34;Mees
Narva linn;30-49;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;Oskab mõnda murret;Peab.omaks.mõnd.usku;3;Mees
Narva linn;50-64;idamurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;Mulgi murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;saarte murre;Peab.omaks.mõnd.usku;1;Mees
Narva linn;50-64;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;Tartu murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;Võru murre;Peab.omaks.mõnd.usku;2;Mees
Narva linn;50-64;Setu murrak;Peab.omaks.mõnd.usku;1;Mees
Narva linn;50-64;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;50-64;Ei oska murdeid;Peab.omaks.mõnd.usku;33;Mees
Narva linn;50-64;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;0;Mees
Narva linn;65 ja vanemad;Oskab mõnda murret;Peab.omaks.mõnd.usku;12;Mees
Narva linn;65 ja vanemad;idamurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;65 ja vanemad;keskmurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;65 ja vanemad;läänemurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;65 ja vanemad;Mulgi murre;Peab.omaks.mõnd.usku;2;Mees
Narva linn;65 ja vanemad;rannikumurre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;65 ja vanemad;saarte murre;Peab.omaks.mõnd.usku;0;Mees
Narva linn;65 ja vanemad;Kihnu murrak;Peab.omaks.mõnd.usku;0;Mees
Narva linn;65 ja vanemad;Tartu murre;Peab.omaks.mõnd.usku;1;Mees
Narva linn;65 ja vanemad;Võru murre;Peab.omaks.mõnd.usku;7;Mees
Narva linn;65 ja vanemad;Setu murrak;Peab.omaks.mõnd.usku;1;Mees
